1.00,1.00,0.60,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.35,1.00
0.73,1.00,0.00,1.00
0.29,1.00,0.00,1.00
0.29,1.00,0.01,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
0.92,1.00,0.00,1.00
0.92,1.00,0.35,1.00
1.00,1.00,0.00,1.00
0.25,1.00,0.00,1.00
0.50,1.00,0.00,1.00
0.50,1.00,0.00,1.00
1.00,1.00,0.00,1.00
0.30,1.00,0.04,1.00
0.40,1.00,0.00,1.00
1.00,1.00,0.01,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.02,1.00
1.00,1.00,0.50,1.00
1.00,1.00,0.14,1.00
1.00,1.00,0.10,1.00
1.00,1.00,0.00,1.00
0.91,1.00,0.00,1.00
1.00,1.00,0.00,1.00
0.93,0.92,0.18,1.00
0.73,1.00,0.00,1.00
0.60,1.00,0.06,1.00
0.60,1.00,0.00,1.00
1.00,1.00,0.00,1.00
0.73,1.00,2.99,1.00
0.73,1.00,0.04,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.02,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,1.00
0.88,0.50,0.00,1.00
0.38,1.00,0.14,1.00
0.50,1.00,0.03,1.00
1.00,0.79,0.00,1.00
0.92,1.00,0.00,1.00
1.00,1.00,0.00,1.00
1.00,1.00,0.00,0.93
1.00,1.00,0.00,0.93
0.91,0.75,0.00,0.90
1.00,0.75,0.00,0.90
0.63,0.75,0.00,0.90
1.00,1.00,0.05,0.90
0.91,0.58,0.02,0.89
0.50,0.58,0.00,0.89
0.91,0.58,0.00,0.89
1.00,0.58,0.00,0.89
0.75,0.58,0.00,0.89
1.00,0.75,0.00,0.88
1.00,0.75,0.00,0.88
0.86,0.75,0.00,0.88
1.00,0.75,0.00,0.88
0.70,0.75,0.00,0.88
0.75,0.75,0.00,0.88
0.75,1.00,0.00,0.86
1.00,1.00,0.34,0.86
1.00,1.00,0.14,0.86
1.00,1.00,0.10,0.86
0.88,0.50,0.00,0.86
1.00,0.50,0.00,0.86
1.00,0.50,0.00,0.86
0.91,0.58,0.02,0.84
0.50,0.58,0.07,0.84
1.00,0.58,0.01,0.84
1.00,0.58,0.00,0.84
0.50,0.58,0.00,0.84
0.75,0.58,0.00,0.84
1.00,1.00,0.00,0.82
1.00,1.00,0.06,0.82
1.00,1.00,0.00,0.82
0.91,1.00,0.32,0.80
0.50,1.00,0.00,0.80
1.00,1.00,0.00,0.80
1.00,1.00,0.01,0.80
1.00,0.75,0.13,0.77
1.00,0.75,0.00,0.77
1.00,0.75,0.04,0.77
1.00,1.00,0.04,0.75
0.75,0.50,0.67,0.74
0.36,1.00,0.28,0.73
1.00,0.83,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
0.92,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.70
1.00,1.00,1.03,0.70
1.00,1.00,0.00,0.70
1.00,1.00,0.00,0.69
1.00,1.00,0.00,0.69
1.00,1.00,0.00,0.69
0.82,1.00,0.00,0.67
0.89,1.00,0.01,0.67
1.00,1.00,0.01,0.67
0.91,0.75,0.01,0.67
1.00,1.00,0.00,0.67
0.63,0.75,0.00,0.67
0.92,1.00,0.95,0.67
0.60,1.00,1.44,0.67
0.90,1.00,1.58,0.67
0.82,1.00,1.19,0.67
0.91,0.83,0.11,0.66
1.00,0.83,0.00,0.66
